Datum, Projekt, Standort, Adresse, Worktype, Status
2016.07.22,Microsoft Promotion 2016,Saturn (W) 1070,Mariahilfer Straﬂe 42-48-1070-Wien,Sales Promotion,Inaktiv
2016.07.23,Microsoft Promotion 2016,Saturn (W) 1070,Mariahilfer Straﬂe 42-48-1070-Wien,Sales Promotion,Inaktiv
2016.07.29,Microsoft Promotion 2016,Saturn (W) 1070,Mariahilfer Straﬂe 42-48-1070-Wien,Sales Promotion,Inaktiv
2016.07.30,Microsoft Promotion 2016,Saturn (W) 1070,Mariahilfer Straﬂe 42-48-1070-Wien,Sales Promotion,Inaktiv
2016.08.05,Microsoft Promotion 2016,Saturn (W) 1070,Mariahilfer Straﬂe 42-48-1070-Wien,Sales Promotion,Inaktiv
2016.08.06,Microsoft Promotion 2016,Saturn (W) 1070,Mariahilfer Straﬂe 42-48-1070-Wien,Sales Promotion,Inaktiv
2016.08.12,Microsoft Promotion 2016,Saturn (W) 1070,Mariahilfer Straﬂe 42-48-1070-Wien,Sales Promotion,Inaktiv
2016.08.13,Microsoft Promotion 2016,Saturn (W) 1070,Mariahilfer Straﬂe 42-48-1070-Wien,Sales Promotion,Inaktiv
2016.08.19,Microsoft Promotion 2016,Saturn (W) 1070,Mariahilfer Straﬂe 42-48-1070-Wien,Sales Promotion,Inaktiv
2016.08.20,Microsoft Promotion 2016,Saturn (W) 1070,Mariahilfer Straﬂe 42-48-1070-Wien,Sales Promotion,Inaktiv
2016.08.26,Microsoft Promotion 2016,Saturn (W) 1070,Mariahilfer Straﬂe 42-48-1070-Wien,Sales Promotion,Inaktiv
2016.08.27,Microsoft Promotion 2016,Saturn (W) 1070,Mariahilfer Straﬂe 42-48-1070-Wien,Sales Promotion,Inaktiv
2016.08.29,Microsoft Promotion 2016,Saturn (W) 1070,Mariahilfer Straﬂe 42-48-1070-Wien,Sales Promotion,Inaktiv
